,Alumni,Variable,Year,Description
0,623,Citi,2010,Company
1,564,EY,2010,Company
2,533,Accenture,2010,Company
3,382,PwC Polska,2010,Company
4,362,Deloitte,2010,Company
5,283,Procter & Gamble,2010,Company
6,268,PZU,2010,Company
7,243,mBank S.A.,2010,Company
8,234,KPMG Poland,2010,Company
9,217,JLL,2010,Company
10,200,Santander Bank Polska,2010,Company
11,196,AstraZeneca,2010,Company
12,189,PwC,2010,Company
13,167,SGH Warsaw School of Economics,2010,Company
14,133,RB,2010,Company
0,574,Citi,2011,Company
1,527,EY,2011,Company
2,502,Accenture,2011,Company
3,368,PwC Polska,2011,Company
4,338,Deloitte,2011,Company
5,264,Procter & Gamble,2011,Company
6,253,PZU,2011,Company
7,227,KPMG Poland,2011,Company
8,225,mBank S.A.,2011,Company
9,203,JLL,2011,Company
10,190,AstraZeneca,2011,Company
11,180,PwC,2011,Company
12,176,Santander Bank Polska,2011,Company
13,161,SGH Warsaw School of Economics,2011,Company
14,128,RB,2011,Company
0,107,Citi,2012,Company
1,102,Accenture,2012,Company
2,89,EY,2012,Company
3,64,PwC Polska,2012,Company
4,56,Procter & Gamble,2012,Company
5,52,mBank S.A.,2012,Company
6,49,Deloitte,2012,Company
7,47,PKO Bank Polski,2012,Company
8,47,PZU,2012,Company
9,47,JLL,2012,Company
10,43,Bank Pekao,2012,Company
11,41,SGH Warsaw School of Economics,2012,Company
12,38,AstraZeneca,2012,Company
13,34,BNP Paribas Bank Polska,2012,Company
14,27,Narodowy Bank Polski (NBP),2012,Company
0,484,Citi,2013,Company
1,464,EY,2013,Company
2,434,Accenture,2013,Company
3,337,PwC Polska,2013,Company
4,309,Deloitte,2013,Company
5,242,Procter & Gamble,2013,Company
6,219,PZU,2013,Company
7,211,KPMG Poland,2013,Company
8,191,mBank S.A.,2013,Company
9,176,JLL,2013,Company
10,167,AstraZeneca,2013,Company
11,165,Bank Pekao,2013,Company
12,162,PwC,2013,Company
13,138,SGH Warsaw School of Economics,2013,Company
14,110,CEMS Club Warsaw,2013,Company
0,447,Citi,2014,Company
1,435,EY,2014,Company
2,398,Accenture,2014,Company
3,321,PwC Polska,2014,Company
4,279,Deloitte,2014,Company
5,226,Procter & Gamble,2014,Company
6,196,KPMG Poland,2014,Company
7,190,PZU,2014,Company
8,181,PKO Bank Polski,2014,Company
9,162,JLL,2014,Company
10,160,BNP Paribas Securities Services,2014,Company
11,144,AstraZeneca,2014,Company
12,142,PwC,2014,Company
13,135,Santander Bank Polska,2014,Company
14,110,CEMS Club Warsaw,2014,Company
0,402,Citi,2015,Company
1,375,EY,2015,Company
2,362,Accenture,2015,Company
3,304,PwC Polska,2015,Company
4,261,Deloitte,2015,Company
5,205,Procter & Gamble,2015,Company
6,187,KPMG Poland,2015,Company
7,174,PZU,2015,Company
