,Alumni,Variable,Year,Description
0,702,Warsaw University of Technology,2010,Company
1,296,Accenture,2010,Company
2,264,Procter & Gamble,2010,Company
3,205,Citi,2010,Company
4,177,PKN ORLEN S.A.,2010,Company
5,160,PZU,2010,Company
6,154,EY,2010,Company
7,148,Orange Polska,2010,Company
8,138,PKO Bank Polski,2010,Company
9,131,Samsung Electronics,2010,Company
10,130,PwC Polska,2010,Company
11,123,Lingaro,2010,Company
12,121,RB,2010,Company
13,116,Netcompany,2010,Company
14,103,Allegro,2010,Company
0,667,Warsaw University of Technology,2011,Company
1,287,Accenture,2011,Company
2,255,Procter & Gamble,2011,Company
3,194,Citi,2011,Company
4,168,PKN ORLEN S.A.,2011,Company
5,149,PZU,2011,Company
6,147,EY,2011,Company
7,132,Orange Polska,2011,Company
8,127,PKO Bank Polski,2011,Company
9,124,PwC Polska,2011,Company
10,123,Samsung Electronics,2011,Company
11,119,Lingaro,2011,Company
12,116,RB,2011,Company
13,115,Netcompany,2011,Company
14,99,Allegro,2011,Company
0,635,Warsaw University of Technology,2012,Company
1,276,Accenture,2012,Company
2,243,Procter & Gamble,2012,Company
3,181,Citi,2012,Company
4,156,PKN ORLEN S.A.,2012,Company
5,141,EY,2012,Company
6,135,PZU,2012,Company
7,121,PKO Bank Polski,2012,Company
8,121,PwC Polska,2012,Company
9,120,Orange Polska,2012,Company
10,113,Lingaro,2012,Company
11,112,Samsung Electronics,2012,Company
12,108,Netcompany,2012,Company
13,108,RB,2012,Company
14,94,Allegro,2012,Company
0,601,Warsaw University of Technology,2013,Company
1,262,Accenture,2013,Company
2,224,Procter & Gamble,2013,Company
3,160,Citi,2013,Company
4,145,PKN ORLEN S.A.,2013,Company
5,127,PZU,2013,Company
6,124,EY,2013,Company
7,118,PwC Polska,2013,Company
8,110,PKO Bank Polski,2013,Company
9,108,Orange Polska,2013,Company
10,104,Netcompany,2013,Company
11,102,Samsung Electronics,2013,Company
12,100,RB,2013,Company
13,99,Lingaro,2013,Company
14,89,Allegro,2013,Company
0,561,Warsaw University of Technology,2014,Company
1,245,Accenture,2014,Company
2,209,Procter & Gamble,2014,Company
3,141,Citi,2014,Company
4,127,PKN ORLEN S.A.,2014,Company
5,120,EY,2014,Company
6,116,PZU,2014,Company
7,109,PwC Polska,2014,Company
8,102,PKO Bank Polski,2014,Company
9,98,Netcompany,2014,Company
10,97,Orange Polska,2014,Company
11,96,Samsung Electronics,2014,Company
12,95,Lingaro,2014,Company
13,88,RB,2014,Company
14,81,Allegro,2014,Company
0,514,Warsaw University of Technology,2015,Company
1,223,Accenture,2015,Company
2,193,Procter & Gamble,2015,Company
3,121,Citi,2015,Company
4,113,PKN ORLEN S.A.,2015,Company
5,108,EY,2015,Company
6,102,PwC Polska,2015,Company
7,101,PZU,2015,Company
8,96,PKO Bank Polski,2015,Company
9,91,Netcompany,2015,Company
10,89,Samsung Electronics Polska,2015,Company
11,87,Samsung Electronics,2015,Company
12,84,Lingaro,2015,Company
13,83,Orange Polska,2015,Company
14,77,RB,2015,Company
0,460,Warsaw University of Technology,2016,Company
1,198,Accenture,2016,Company
2,160,Procter & Gamble,2016,Company
3,103,Citi,2016,Company
4,98,PKN ORLEN S.A.,2016,Company
5,96,EY,2016,Company
6,90,PwC Polska,2016,Company
7,87,Netcompany,2016,Company
8,85,PZU,2016,Company
9,84,PKO Bank Polski,2016,Company
10,81,Samsung Electronics Polska,2016,Company
11,79,Samsung Electronics,2016,Company
12,70,Lingaro,2016,Company
13,68,RB,2016,Company
14,67,Orange Polska,2016,Company
0,405,Warsaw University of Technology,2017,Company
1,163,Accenture,2017,Company
2,131,Procter & Gamble,2017,Company
3,89,Citi,2017,Company
4,83,EY,2017,Company
5,81,PKN ORLEN S.A.,2017,Company
6,81,Netcompany,2017,Company
7,74,Samsung Electronics Polska,2017,Company
8,73,PwC Polska,2017,Company
9,71,Samsung Electronics,2017,Company
10,66,PKO Bank Polski,2017,Company
11,66,PZU,2017,Company
12,59,RB,2017,Company
13,55,Orange Polska,2017,Company
14,51,Institute of Aviation,2017,Company
0,348,Warsaw University of Technology,2018,Company
1,139,Accenture,2018,Company
2,102,Procter & Gamble,2018,Company
3,73,Netcompany,2018,Company
4,67,Citi,2018,Company
5,63,EY,2018,Company
6,59,Samsung Electronics Polska,2018,Company
7,58,Samsung Electronics,2018,Company
8,56,PwC Polska,2018,Company
9,52,PZU,2018,Company
10,51,RB,2018,Company
11,50,PKO Bank Polski,2018,Company
12,44,Orange Polska,2018,Company
13,41,Allegro,2018,Company
14,40,Nielsen,2018,Company
0,273,Warsaw University of Technology,2019,Company
1,109,Accenture,2019,Company
2,72,Procter & Gamble,2019,Company
3,53,Netcompany,2019,Company
4,48,Samsung Electronics Polska,2019,Company
5,46,EY,2019,Company
6,45,Samsung Electronics,2019,Company
7,43,Citi,2019,Company
8,43,Samorząd Studentów Politechniki Warszawskiej,2019,Company
9,43,PwC Polska,2019,Company
10,41,PKO Bank Polski,2019,Company
11,37,PZU,2019,Company
12,37,RB,2019,Company
13,32,Orange Polska,2019,Company
14,32,Institute of Aviation,2019,Company
0,188,Warsaw University of Technology,2020,Company
1,65,Accenture,2020,Company
2,52,Procter & Gamble,2020,Company
3,42,Samorząd Studentów Politechniki Warszawskiej,2020,Company
4,36,Samsung Electronics Polska,2020,Company
5,34,Netcompany,2020,Company
6,33,Samsung Electronics,2020,Company
7,31,PwC Polska,2020,Company
8,27,KMD Poland,2020,Company
9,27,RB,2020,Company
10,26,EY,2020,Company
11,26,Students' Space Association,2020,Company
12,26,PKO Bank Polski,2020,Company
13,22,Students' Robotics Association (Koło Naukowe Robotyków KNR),2020,Company
14,22,Institute of Aviation,2020,Company
0,115,Warsaw University of Technology,2021,Company
1,37,Samorząd Studentów Politechniki Warszawskiej,2021,Company
2,35,Accenture,2021,Company
3,24,Students' Space Association,2021,Company
4,23,Procter & Gamble,2021,Company
5,23,Samsung Electronics,2021,Company
6,20,KMD Poland,2021,Company
7,19,Netcompany,2021,Company
8,17,Students' Robotics Association (Koło Naukowe Robotyków KNR),2021,Company
9,17,Power Engineering Academic Study Group,2021,Company
10,16,PwC Polska,2021,Company
11,15,Institute of Aviation,2021,Company
12,9,Testronic,2021,Company
13,8,BEC Poland,2021,Company
14,7,SUNTECH SA,2021,Company
0,"1,857",Engineering,2010,Position
1,"1,042",Information Technology,2010,Position
2,830,Business Development,2010,Position
3,799,Operations,2010,Position
4,457,Program and Project Management,2010,Position
5,422,Arts and Design,2010,Position
6,385,Sales,2010,Position
7,326,Research,2010,Position
8,266,Finance,2010,Position
9,232,Education,2010,Position
10,161,Consulting,2010,Position
11,153,Support,2010,Position
12,146,Administrative,2010,Position
13,140,Quality Assurance,2010,Position
14,130,Marketing,2010,Position
0,"1,840",Engineering,2011,Position
1,"1,046",Information Technology,2011,Position
2,769,Business Development,2011,Position
3,744,Operations,2011,Position
4,423,Program and Project Management,2011,Position
5,395,Arts and Design,2011,Position
6,392,Sales,2011,Position
7,302,Research,2011,Position
8,259,Finance,2011,Position
9,249,Education,2011,Position
10,190,Consulting,2011,Position
11,178,Support,2011,Position
12,153,Administrative,2011,Position
13,147,Quality Assurance,2011,Position
14,129,Marketing,2011,Position
0,"2,200",Engineering,2012,Position
1,"1,156",Information Technology,2012,Position
2,853,Operations,2012,Position
3,829,Business Development,2012,Position
4,505,Arts and Design,2012,Position
5,442,Program and Project Management,2012,Position
6,401,Sales,2012,Position
7,354,Research,2012,Position
8,295,Finance,2012,Position
9,253,Education,2012,Position
10,184,Consulting,2012,Position
11,172,Administrative,2012,Position
12,172,Quality Assurance,2012,Position
13,151,Support,2012,Position
14,130,Marketing,2012,Position
0,"2,281",Engineering,2013,Position
1,"1,089",Information Technology,2013,Position
2,918,Operations,2013,Position
3,792,Business Development,2013,Position
4,463,Arts and Design,2013,Position
5,461,Program and Project Management,2013,Position
6,447,Sales,2013,Position
7,337,Research,2013,Position
8,304,Finance,2013,Position
9,270,Education,2013,Position
10,197,Administrative,2013,Position
11,191,Support,2013,Position
12,180,Consulting,2013,Position
13,165,Quality Assurance,2013,Position
14,138,Marketing,2013,Position
0,"2,286",Engineering,2014,Position
1,"1,048",Information Technology,2014,Position
2,971,Operations,2014,Position
3,746,Business Development,2014,Position
4,510,Arts and Design,2014,Position
5,432,Program and Project Management,2014,Position
6,422,Sales,2014,Position
