,Description,Year,Variable,variable,value
0,Company,2010,Citi,Alumni,623
1,Company,2010,EY,Alumni,564
2,Company,2010,Accenture,Alumni,533
3,Company,2010,PwC Polska,Alumni,382
4,Company,2010,Deloitte,Alumni,362
5,Company,2010,Procter & Gamble,Alumni,283
6,Company,2010,PZU,Alumni,268
7,Company,2010,mBank S.A.,Alumni,243
8,Company,2010,KPMG Poland,Alumni,234
9,Company,2010,JLL,Alumni,217
10,Company,2010,Santander Bank Polska,Alumni,200
11,Company,2010,AstraZeneca,Alumni,196
12,Company,2010,PwC,Alumni,189
13,Company,2010,SGH Warsaw School of Economics,Alumni,167
14,Company,2010,RB,Alumni,133
15,Company,2011,Citi,Alumni,574
16,Company,2011,EY,Alumni,527
17,Company,2011,Accenture,Alumni,502
18,Company,2011,PwC Polska,Alumni,368
19,Company,2011,Deloitte,Alumni,338
20,Company,2011,Procter & Gamble,Alumni,264
21,Company,2011,PZU,Alumni,253
22,Company,2011,KPMG Poland,Alumni,227
23,Company,2011,mBank S.A.,Alumni,225
24,Company,2011,JLL,Alumni,203
25,Company,2011,AstraZeneca,Alumni,190
26,Company,2011,PwC,Alumni,180
27,Company,2011,Santander Bank Polska,Alumni,176
28,Company,2011,SGH Warsaw School of Economics,Alumni,161
29,Company,2011,RB,Alumni,128
30,Company,2012,Citi,Alumni,107
31,Company,2012,Accenture,Alumni,102
32,Company,2012,EY,Alumni,89
33,Company,2012,PwC Polska,Alumni,64
34,Company,2012,Procter & Gamble,Alumni,56
35,Company,2012,mBank S.A.,Alumni,52
36,Company,2012,Deloitte,Alumni,49
37,Company,2012,PKO Bank Polski,Alumni,47
38,Company,2012,PZU,Alumni,47
39,Company,2012,JLL,Alumni,47
40,Company,2012,Bank Pekao,Alumni,43
41,Company,2012,SGH Warsaw School of Economics,Alumni,41
42,Company,2012,AstraZeneca,Alumni,38
43,Company,2012,BNP Paribas Bank Polska,Alumni,34
44,Company,2012,Narodowy Bank Polski (NBP),Alumni,27
45,Company,2013,Citi,Alumni,484
46,Company,2013,EY,Alumni,464
47,Company,2013,Accenture,Alumni,434
