,Description,Year,Variable,variable,value
0,Company,2010,Warsaw University of Technology,Alumni,702
1,Company,2010,Accenture,Alumni,296
2,Company,2010,Procter & Gamble,Alumni,264
3,Company,2010,Citi,Alumni,205
4,Company,2010,PKN ORLEN S.A.,Alumni,177
5,Company,2010,PZU,Alumni,160
6,Company,2010,EY,Alumni,154
7,Company,2010,Orange Polska,Alumni,148
8,Company,2010,PKO Bank Polski,Alumni,138
9,Company,2010,Samsung Electronics,Alumni,131
10,Company,2010,PwC Polska,Alumni,130
11,Company,2010,Lingaro,Alumni,123
12,Company,2010,RB,Alumni,121
13,Company,2010,Netcompany,Alumni,116
14,Company,2010,Allegro,Alumni,103
15,Company,2011,Warsaw University of Technology,Alumni,667
16,Company,2011,Accenture,Alumni,287
17,Company,2011,Procter & Gamble,Alumni,255
18,Company,2011,Citi,Alumni,194
19,Company,2011,PKN ORLEN S.A.,Alumni,168
20,Company,2011,PZU,Alumni,149
21,Company,2011,EY,Alumni,147
22,Company,2011,Orange Polska,Alumni,132
23,Company,2011,PKO Bank Polski,Alumni,127
24,Company,2011,PwC Polska,Alumni,124
25,Company,2011,Samsung Electronics,Alumni,123
26,Company,2011,Lingaro,Alumni,119
27,Company,2011,RB,Alumni,116
28,Company,2011,Netcompany,Alumni,115
29,Company,2011,Allegro,Alumni,99
30,Company,2012,Warsaw University of Technology,Alumni,635
31,Company,2012,Accenture,Alumni,276
32,Company,2012,Procter & Gamble,Alumni,243
33,Company,2012,Citi,Alumni,181
34,Company,2012,PKN ORLEN S.A.,Alumni,156
35,Company,2012,EY,Alumni,141
36,Company,2012,PZU,Alumni,135
37,Company,2012,PKO Bank Polski,Alumni,121
38,Company,2012,PwC Polska,Alumni,121
39,Company,2012,Orange Polska,Alumni,120
40,Company,2012,Lingaro,Alumni,113
41,Company,2012,Samsung Electronics,Alumni,112
42,Company,2012,Netcompany,Alumni,108
43,Company,2012,RB,Alumni,108
44,Company,2012,Allegro,Alumni,94
45,Company,2013,Warsaw University of Technology,Alumni,601
46,Company,2013,Accenture,Alumni,262
47,Company,2013,Procter & Gamble,Alumni,224
48,Company,2013,Citi,Alumni,160
49,Company,2013,PKN ORLEN S.A.,Alumni,145
50,Company,2013,PZU,Alumni,127
51,Company,2013,EY,Alumni,124
52,Company,2013,PwC Polska,Alumni,118
53,Company,2013,PKO Bank Polski,Alumni,110
54,Company,2013,Orange Polska,Alumni,108
55,Company,2013,Netcompany,Alumni,104
56,Company,2013,Samsung Electronics,Alumni,102
57,Company,2013,RB,Alumni,100
58,Company,2013,Lingaro,Alumni,99
59,Company,2013,Allegro,Alumni,89
60,Company,2014,Warsaw University of Technology,Alumni,561
61,Company,2014,Accenture,Alumni,245
62,Company,2014,Procter & Gamble,Alumni,209
63,Company,2014,Citi,Alumni,141
64,Company,2014,PKN ORLEN S.A.,Alumni,127
65,Company,2014,EY,Alumni,120
66,Company,2014,PZU,Alumni,116
67,Company,2014,PwC Polska,Alumni,109
68,Company,2014,PKO Bank Polski,Alumni,102
69,Company,2014,Netcompany,Alumni,98
70,Company,2014,Orange Polska,Alumni,97
71,Company,2014,Samsung Electronics,Alumni,96
72,Company,2014,Lingaro,Alumni,95
73,Company,2014,RB,Alumni,88
74,Company,2014,Allegro,Alumni,81
75,Company,2015,Warsaw University of Technology,Alumni,514
76,Company,2015,Accenture,Alumni,223
77,Company,2015,Procter & Gamble,Alumni,193
78,Company,2015,Citi,Alumni,121
79,Company,2015,PKN ORLEN S.A.,Alumni,113
80,Company,2015,EY,Alumni,108
81,Company,2015,PwC Polska,Alumni,102
82,Company,2015,PZU,Alumni,101
83,Company,2015,PKO Bank Polski,Alumni,96
84,Company,2015,Netcompany,Alumni,91
85,Company,2015,Samsung Electronics Polska,Alumni,89
86,Company,2015,Samsung Electronics,Alumni,87
87,Company,2015,Lingaro,Alumni,84
88,Company,2015,Orange Polska,Alumni,83
89,Company,2015,RB,Alumni,77
90,Company,2016,Warsaw University of Technology,Alumni,460
91,Company,2016,Accenture,Alumni,198
92,Company,2016,Procter & Gamble,Alumni,160
93,Company,2016,Citi,Alumni,103
94,Company,2016,PKN ORLEN S.A.,Alumni,98
95,Company,2016,EY,Alumni,96
96,Company,2016,PwC Polska,Alumni,90
97,Company,2016,Netcompany,Alumni,87
98,Company,2016,PZU,Alumni,85
99,Company,2016,PKO Bank Polski,Alumni,84
100,Company,2016,Samsung Electronics Polska,Alumni,81
101,Company,2016,Samsung Electronics,Alumni,79
102,Company,2016,Lingaro,Alumni,70
103,Company,2016,RB,Alumni,68
104,Company,2016,Orange Polska,Alumni,67
105,Company,2017,Warsaw University of Technology,Alumni,405
106,Company,2017,Accenture,Alumni,163
107,Company,2017,Procter & Gamble,Alumni,131
