Description,Variable,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Company,Accenture,533,502,102,434,398,362,325,281,246,184,122,60
Company,AstraZeneca,196,190,38,167,144,125,,,,,,
Company,BNP Paribas Bank Polska,,,34,,,,,,,,,
Company,BNP Paribas Securities Services,,,,,160,153,139,116,97,82,61,35
Company,Bank Pekao,,,43,165,,,,,,,,
Company,CEMS Club Warsaw,,,,110,110,,110,109,109,109,103,86
Company,Citi,623,574,107,484,447,402,352,293,244,192,133,56
Company,Deloitte,362,338,49,309,279,261,237,206,175,136,91,48
Company,EY,564,527,89,464,435,375,330,270,225,165,113,53
Company,JLL,217,203,47,176,162,146,137,121,97,79,59,28
Company,KPMG Poland,234,227,,211,196,187,173,161,139,101,65,
Company,Narodowy Bank Polski (NBP),,,27,,,,,,,,,
Company,Nielsen,,,,,,,105,94,81,67,,
Company,PKO Bank Polski,,,47,,181,165,144,121,102,75,,
Company,PZU,268,253,47,219,190,174,155,129,97,,55,
Company,Procter & Gamble,283,264,56,242,226,205,183,162,137,102,72,36
Company,PwC,189,180,,162,142,128,,,,,,
Company,PwC Polska,382,368,64,337,321,304,278,253,207,157,104,53
Company,RB,133,128,,,,,,,,,,
Company,SGH Warsaw School of Economics,167,161,41,138,,,,112,95,82,53,33
Company,Santander Bank Polska,200,176,,,135,119,105,,79,,,
Company,Studenckie Koło Naukowe Negocjator,,,,,,,,,,,,22
Company,Students' Business Club,,,,,,,,,,81,77,64
Company,Warsaw Consulting Club,,,,,,,,,,60,58,50
Company,Warsaw School of Economics Students' Union,,,,,,,,,,,49,43
Company,ZSP SGH,,,,,,,,,,,,36
Company,mBank S.A.,243,225,52,191,,142,120,103,,,,
Position,Accounting,522,543,573,596,691,722,811,748,796,642,550,250
Position,Administrative,,,,,,,,,268,277,241,119
Position,Business Development,"1,418","1,382","1,406","1,413","1,348","1,246","1,361","1,193","1,186","1,014",709,332
Position,Consulting,308,319,332,344,363,343,370,344,329,,,
Position,Education,219,206,,228,,,,266,,302,217,142
Position,Engineering,375,485,482,440,446,490,518,500,479,363,276,113
Position,Finance,"1,044",953,"1,074","1,083","1,130","1,051","1,139","1,064",964,841,694,286
Position,Human Resources,240,250,255,258,259,253,271,292,270,274,233,97
Position,Information Technology,741,804,817,821,876,903,"1,026",889,868,717,558,236
Position,Legal,,,,,242,231,237,,,264,231,96
Position,Marketing,584,601,662,652,709,676,747,702,589,553,443,187
Position,Media and Communication,224,243,268,259,294,276,253,272,280,,,
Position,Operations,715,705,716,787,765,794,927,909,892,850,701,359
Position,Product Management,,,235,,,,,,,,,
Position,Program and Project Management,532,503,568,546,503,510,554,525,496,363,267,100
